nameseq,k1,k2,k3,label
lcl|Zmarina_Zosma14g00010.1,1.9690986746841896,3.8641824692949633,5.63407967906551,0
lcl|Zmarina_Zosma14g00060.1,1.971074761746108,3.9177740354072625,5.815422427027953,0
lcl|Zmarina_Zosma14g00080.1,1.9689912904864182,3.895005878381064,5.7853507576770475,0
lcl|Zmarina_Zosma14g00170.1,1.8978518691237185,3.7438225105726937,5.52599962445013,0
lcl|Zmarina_Zosma14g00250.1,1.954420127009167,3.87709055594713,5.765641413712605,0
lcl|Zmarina_Zosma14g00320.1,1.995257668171027,3.938390671887663,5.783041521739055,0
lcl|Zmarina_Zosma14g00390.1,1.9929113921161976,3.946326704793827,5.834768516376907,0
lcl|Zmarina_Zosma14g00410.1,1.9745826256405694,3.8766439069521277,5.643860568463543,0
lcl|Zmarina_Zosma14g00620.1,1.951597370974037,3.8342329216404485,5.613489433514981,0
lcl|Zmarina_Zosma14g00650.1,1.9411430678674149,3.801368443733742,5.600475202763723,0
lcl|Zmarina_Zosma14g00750.1,1.9616968241133113,3.9025209607050093,5.770975076549797,0
lcl|Zmarina_Zosma14g00810.1,1.9196315384221478,3.8051683053827716,5.64071618142248,0
lcl|Zmarina_Zosma14g00820.1,1.9572682477716832,3.8835826269916973,5.773390515366716,0
lcl|Zmarina_Zosma14g00840.1,1.9724273629205251,3.907273911929575,5.801599828759051,0
lcl|Zmarina_Zosma14g00940.1,1.8983222087863665,3.747676645978033,5.441302929879727,0
lcl|Zmarina_Zosma14g01060.1,1.9237667264343625,3.79025259694843,5.589277424249643,0
lcl|Zmarina_Zosma14g01100.1,1.9282178524664766,3.7943498421174144,5.547390589366055,0
lcl|Zmarina_Zosma14g01350.1,1.925659330247079,3.803143901372957,5.556705484937964,0
lcl|Zmarina_Zosma14g01800.1,1.9488478657042025,3.8705431487202766,5.640217997916157,0
lcl|Zmarina_Zosma150g00050.1,1.9426802915213452,3.876555160450367,5.781144899489625,0
lcl|Zmarina_Zosma150g00080.1,1.990448039490957,3.9616896445963086,5.816954742789218,0
lcl|Zmarina_Zosma151g00020.1,1.9364806973303434,3.81345261277622,5.627368507819542,0
lcl|Zmarina_Zosma151g00100.1,1.9475658450858915,3.8106388587006808,5.5871920437457145,0
lcl|Zmarina_Zosma151g00130.1,1.9786433313389735,3.8615675875144797,5.610076254307649,0
lcl|Zmarina_Zosma151g00150.1,1.9896384248574264,3.9296992887610283,5.797905218012095,0
lcl|Zmarina_Zosma1528g00010.1,1.9012933300227874,3.777897771818941,5.534373899705892,0
lcl|Zmarina_Zosma152g00100.1,1.8211492309469302,3.5999569308776658,5.3147035329984,0
lcl|Zmarina_Zosma152g00170.1,1.6106367868906548,3.116602794031842,4.536733839045912,0
lcl|Zmarina_Zosma1538g00010.1,1.9211400827675993,3.805479610655501,5.585767815721977,0
lcl|Zmarina_Zosma153g00090.1,1.952964949835062,3.8811242105469854,5.7287493992310035,0
lcl|Zmarina_Zosma153g00130.1,1.8990731127382208,3.762352241710565,5.516376102761872,0
lcl|Zmarina_Zosma153g00290.1,1.956683767032644,3.8973221761025734,5.7776213610560205,0
lcl|Zmarina_Zosma154g00240.1,1.9655927033820089,3.8490931975734153,5.688826324537952,0
lcl|Zmarina_Zosma154g00400.1,1.9554902851981257,3.8996617076443005,5.803300968032065,0
lcl|Zmarina_Zosma154g00470.1,1.965951008177207,3.8922610450820003,5.765397449049598,0
lcl|Zmarina_Zosma154g00490.1,1.9682789768866966,3.8490516890588236,5.652433203687696,0
lcl|Zmarina_Zosma155g00280.1,1.9461674317351705,3.8386700509189273,5.581365626218752,0
lcl|Zmarina_Zosma155g00420.1,1.956724878081713,3.8876493671965044,5.686806138051117,0
lcl|Zmarina_Zosma1562g00010.1,1.8632436877650562,3.687298185242773,5.454878433471546,0
lcl|Zmarina_Zosma1562g00020.1,1.9665339075539114,3.8924665132011573,5.725998178345885,0
lcl|Zmarina_Zosma156g00030.1,1.9796480312833833,3.9231053535668967,5.837907603612422,0
lcl|Zmarina_Zosma156g00040.1,1.957857575833347,3.8662374959901262,5.734220270932924,0
lcl|Zmarina_Zosma156g00170.1,1.9128186983650632,3.7554617872137612,5.494358816059533,0
lcl|Zmarina_Zosma157g00240.1,1.990248991468431,3.9335850983024434,5.784575022560521,0
lcl|Zmarina_Zosma158g00020.1,1.8838730674165478,3.7413270216545476,5.535314545183123,0
lcl|Zmarina_Zosma158g00150.1,1.9750702608636685,3.865522408745861,5.623257256576997,0
lcl|Zmarina_Zosma158g00260.1,1.9526255435950814,3.8723023148434637,5.701843024997984,0
lcl|Zmarina_Zosma158g00270.1,1.8237502792401372,3.582647759432883,5.199718900356911,0
lcl|Zmarina_Zosma158g00360.1,1.9943399089715943,3.9547824027538905,5.8324767069364265,0
lcl|Zmarina_Zosma159g00090.1,1.9895215596774802,3.960221655669361,5.818944978278829,0
lcl|Zmarina_Zosma159g00480.1,1.964033139612478,3.9226011703437673,5.842451548749613,0
lcl|Zmarina_Zosma159g00510.1,1.9415856913948417,3.83467927583342,5.665737016968364,0
lcl|Zmarina_Zosma15g00050.1,1.9916272758041784,3.949492629465482,5.791031989311832,0
lcl|Zmarina_Zosma15g00080.1,1.9234292167193834,3.7728027235553765,5.553200448341451,0
lcl|Zmarina_Zosma15g00390.1,1.989549718235049,3.9560370153855775,5.903486894238125,0
lcl|Zmarina_Zosma15g00670.1,1.9892805361523314,3.9439843205198666,5.851821058303833,0
lcl|Zmarina_Zosma15g01730.1,1.9787838906466515,3.9304901127798533,5.788950904402984,0
lcl|Zmarina_Zosma15g01770.1,1.9623484259628752,3.8902498169342947,5.6748567142376585,0
lcl|Zmarina_Zosma160g00020.1,1.9106898862631603,3.7783426070276955,5.541384511191062,0
lcl|Zmarina_Zosma160g00190.1,1.9857085739935836,3.913721449392791,5.743376377981873,0
