nameseq,k1,k2,k3,label
Zosma05g10510.1,1.9998153734385942,3.9534856057087593,5.864268313951968,1
Zosma04g24360.1,1.9725147451729628,3.8939622168624504,5.787311070356374,1
Zosma05g24200.1,1.9929346897700195,3.9596624507697964,5.885706344865946,1
Zosma05g18050.1,1.9979790278502274,3.972043673406157,5.9064875595377435,1
Zosma05g33230.1,1.9631668427602027,3.876673801224175,5.769589060341708,1
Zosma01g18160.1,1.950444458559777,3.822057736331317,5.6153596177276,1
Zosma06g29980.1,1.962983998652223,3.878141672311231,5.745533122261769,1
Zosma213g00070.1,1.9914663644722057,3.9643684538747936,5.912733267313555,1
Zosma15g00310.1,1.9591435157215826,3.7948447821025852,5.374465825622309,1
Zosma06g13470.1,1.912732250806469,3.74954035482053,5.503158249227069,1
Zosma360g00180.1,1.97643309757983,3.913357433007513,5.794424952595882,1
Zosma03g20890.1,1.9901729126381815,3.957113650553394,5.904231924975651,1
Zosma154g00050.1,1.9801846797091698,3.927893372662549,5.849222159185845,1
Zosma03g14050.1,1.9961888256863216,3.9492265489696243,5.838212995525976,1
Zosma04g06140.1,1.9607571127942387,3.8912805107778703,5.794517337318911,1
Zosma1383g00030.1,1.9996044088338323,3.951239108934184,5.864492543178229,1
Zosma05g02820.1,1.9907587068318695,3.949756665403236,5.877524468619866,1
Zosma01g32420.1,1.9748207362549504,3.9149498320982414,5.807101977553162,1
Zosma04g00640.1,1.9790492842225285,3.9265590954615437,5.857926753388394,1
Zosma06g13890.1,1.907759053252603,3.6138654242116326,5.175817615348291,1
Zosma04g18640.1,1.9674808334410105,3.9029056808286473,5.813922757714552,1
Zosma06g28150.1,1.9809517349874919,3.930843602619324,5.8645463344892725,1
Zosma06g01550.1,1.9800293430506688,3.9296535525441185,5.829042018780966,1
Zosma05g12060.1,1.985582025212479,3.923914641880982,5.828231486737743,1
Zosma01g37480.1,1.9925566532913144,3.9438077286164845,5.851753799350477,1
Zosma123g00020.1,1.9901503059316057,3.9437445186262496,5.84871148045418,1
Zosma01g15920.1,1.9745355478272797,3.914620696657368,5.8231755451155625,1
Zosma02g22100.1,1.9773220489645436,3.92955471534803,5.836617918891792,1
Zosma03g34210.1,1.9969894834890354,3.9720408430347716,5.888957569832801,1
Zosma03g31350.1,1.9725262821912568,3.911797846248324,5.828364608707725,1
Zosma02g05230.1,1.920599777214302,3.763832658277486,5.440159052475408,1
Zosma01g42050.1,1.9950300816505333,3.9625674475104278,5.878201898630937,1
Zosma02g21430.1,1.963711203959644,3.8852136971111833,5.7734811059377344,1
Zosma01g18670.1,1.9832890912469896,3.9260884838689765,5.83000212221533,1
Zosma05g31560.1,1.9885202036213372,3.9577295321147754,5.87639672004644,1
Zosma04g09560.1,1.9909700824134675,3.9494166303326788,5.852436558891123,1
Zosma03g30480.1,1.9948301016136014,3.9693890515984656,5.900589118438767,1
Zosma01g39740.1,1.9898981412129548,3.943050225185873,5.878771711089323,1
Zosma06g28770.1,1.96261780875985,3.8818856603345444,5.73368968122249,1
Zosma05g05270.1,1.9268194926724236,3.766517377062916,5.390066618546618,1
Zosma05g05180.1,1.9949471049018035,3.9562370998249694,5.882333126667722,1
Zosma03g31690.1,1.9814676740737571,3.890145206846989,5.757600188045517,1
Zosma01g17500.1,1.9707897328062316,3.8794021296051846,5.756378015720542,1
Zosma01g26460.1,1.9922248263547417,3.955457597757719,5.877012114583209,1
Zosma03g12280.1,1.986294902738003,3.919338626068031,5.809964972647819,1
Zosma03g34920.1,1.9991727555737087,3.971028843882286,5.899880789611062,1
Zosma05g27050.1,1.9861105941025,3.945152942467508,5.871719216699628,1
Zosma03g04860.1,1.9922834833114504,3.9353111784138033,5.728928498277212,1
Zosma12g00120.1,1.9498966190234055,3.8737579548963614,5.783218081716818,1
Zosma02g09900.1,1.976699373697862,3.9278163819791376,5.853357800863331,1
Zosma638g00020.1,1.9959605274167527,3.9278365481516584,5.7759702412002,1
Zosma02g09500.1,1.9927376239496322,3.9466661573275177,5.8705042859521335,1
Zosma02g20840.1,1.986116765935877,3.9362400931589776,5.864269169515025,1
Zosma06g01530.1,1.985383471398291,3.9437493747054173,5.876171819100061,1
Zosma113g00040.1,1.9798797604558105,3.9034268001755823,5.746382853236903,1
Zosma02g23210.1,1.9453190335424972,3.847103488528397,5.708657338909631,1
Zosma06g08260.1,1.9447184810582905,3.8550466033638946,5.742247851077141,1
Zosma07g03110.1,1.95060010852196,3.8770358870734314,5.7763779755472315,1
Zosma01g33610.1,1.9830762490636675,3.935032832947539,5.8490597852711534,1
Zosma03g11720.1,1.98783238023599,3.9457757526336,5.818209215344513,1
Zosma05g07080.1,1.960045491005466,3.891116311901469,5.798420108624543,1
Zosma05g25440.1,1.9684623182976941,3.886824048894464,5.7273038505095135,1
Zosma02g18800.1,1.982651040921295,3.9330180240617447,5.82754111195629,1
Zosma03g09570.1,1.9068820473472952,3.7430811848211127,5.513316341414034,1
Zosma02g09260.1,1.8966857260745114,3.6829267250014963,5.2199043310457744,1
Zosma05g27160.1,1.9294657206880346,3.7858335329737196,5.529304054880577,1
Zosma03g04290.1,1.9919710387405167,3.892758781288317,5.723360879479721,1
Zosma06g21830.1,1.967125616797167,3.895990424223381,5.803891262172916,1
Zosma02g09910.1,1.975324264163162,3.9243014547658936,5.835173775375425,1
Zosma04g18140.1,1.9467379435444905,3.834586734519255,5.634351343916889,1
Zosma01g06170.1,1.96062147747383,3.853086787202758,5.667447630065531,1
Zosma03g12980.1,1.9786946403237944,3.9136831040473123,5.815362495235322,1
Zosma70g00160.1,1.949991346562095,3.8560868829704282,5.631193763610644,1
Zosma05g26080.1,1.979621958368166,3.910970202495979,5.820454863301276,1
Zosma04g05950.1,1.996493983037568,3.956923471440951,5.893358088888889,1
Zosma03g17430.1,1.9879886164760876,3.9360545596295893,5.808684282685716,1
Zosma06g01260.1,1.9695437824061186,3.889783855809159,5.789077870080603,1
Zosma06g20150.1,1.9392385143998379,3.829443833508355,5.660938528588189,1
Zosma05g34210.1,1.9876445332344757,3.9281813808015666,5.8308631272749105,1
Zosma03g34200.1,1.9940780193020635,3.9531813617878937,5.864298443048126,1
Zosma05g33350.1,1.9768540265651549,3.9091917927181346,5.799889987426772,1
Zosma05g18520.1,1.995280974901693,3.9715972233698884,5.913183797604038,1
Zosma06g11630.1,1.959502675782296,3.8849401185371035,5.799143433252861,1
Zosma04g04880.1,1.9828910559917885,3.9398618303366857,5.8422640527491465,1
Zosma01g35890.1,1.9839934850052312,3.9248434085438606,5.779217292208661,1
Zosma232g00040.1,1.975502105325798,3.9207460842415505,5.833697253605173,1
Zosma01g04120.1,1.6545786678753078,3.2495480321320653,4.737403232440323,1
Zosma03g10900.1,1.9907798732086688,3.9379617369948123,5.840634677277272,1
Zosma03g33810.1,1.979841837733674,3.921033288627682,5.844707505675836,1
Zosma06g05970.1,1.9215374084319294,3.806991444129322,5.584951410019075,1
Zosma05g10610.1,1.9593720368204317,3.8816557150700137,5.774335157109128,1
Zosma05g04000.1,1.9794985177117344,3.9283411682053866,5.855387264663919,1
Zosma03g12990.1,1.9884740943867956,3.944464672201027,5.83305850593183,1
Zosma01g17300.1,1.9318325084114891,3.8293043660182637,5.6856730227165455,1
Zosma03g15290.1,1.9853385041045064,3.9410970632632747,5.8553668778251104,1
Zosma02g08750.1,1.9858252516253572,3.9339382824269595,5.8483739749256625,1
Zosma01g35740.1,1.9546876290741766,3.874115822900467,5.778803945706953,1
Zosma01g00940.1,1.9786473295010762,3.9215105396751753,5.842295057425086,1
Zosma02g00680.1,1.984681906617093,3.93353227401101,5.829295067605271,1
Zosma05g25450.1,1.99644541790343,3.9664362344917907,5.904787586474912,1
Zosma05g08970.1,1.9677391245929103,3.898424635300601,5.787513090275449,1
Zosma03g14410.1,1.9629151568903818,3.8954295009456423,5.7969872579808435,1
Zosma03g05220.1,1.9809825666602607,3.9280487605711034,5.843781930228262,1
Zosma01g29080.1,1.9814004377388996,3.9482646929326557,5.867765009266409,1
Zosma01g09900.1,1.995432594598286,3.9623934220300483,5.845902981879612,1
Zosma06g15900.1,1.9974684640256504,3.949416632670812,5.862417243604937,1
Zosma06g18230.1,1.9900377684383326,3.941128606190488,5.847460638700039,1
Zosma01g06470.1,1.9991144904821307,3.9845894996752738,5.9308438651710285,1
Zosma03g09860.1,1.9473119862512498,3.8604895709347926,5.692056106434145,1
Zosma05g18690.1,1.9682088621872542,3.8909979693742747,5.789573534368523,1
Zosma02g11910.1,1.937786738640087,3.867461584116955,5.693827761423277,1
Zosma05g20050.1,1.9924389520596104,3.959386545374779,5.907532353446013,1
Zosma03g11630.1,1.971467011346691,3.9259548967163744,5.831285905784621,1
Zosma01g06730.1,1.9245059612128625,3.8079738821127163,5.674251348967174,1
Zosma01g30790.1,1.947432560514405,3.8252329468709307,5.610806286057752,1
Zosma171g00120.1,1.9439598028467815,3.8246996021803463,5.677359543751982,1
Zosma07g02910.1,1.9444946883218848,3.863134470657818,5.7590379660727224,1
Zosma247g00020.1,1.9910339999371862,3.94193641601874,5.849413971730637,1
Zosma03g27640.1,1.9568601830495722,3.8752016040670583,5.78055141147605,1
Zosma03g19200.1,1.9752293331798894,3.8968108095866913,5.78504771601339,1
Zosma01g40490.1,1.9975128098739554,3.9706004638065946,5.878492863639248,1
Zosma03g36420.1,1.989304174469716,3.944679068039962,5.859786509817576,1
Zosma05g30980.1,1.9490342376190277,3.851234973197646,5.657605158811124,1
Zosma02g21660.1,1.961427749559606,3.880151933369364,5.780353683583507,1
Zosma06g01050.1,1.9614930846295064,3.851262827860789,5.7133766143944795,1
Zosma01g35460.1,1.9514012211884197,3.8684201585792306,5.760245748739967,1
Zosma03g33490.1,1.980730827731433,3.9023005462497693,5.713474011754209,1
Zosma04g09660.1,1.9787125760339441,3.904107080844528,5.731139156262728,1
Zosma04g09990.1,1.9913344876557586,3.9726868473097223,5.9313820123181005,1
Zosma04g25910.1,1.944316211305227,3.85924814864001,5.734102551990115,1
Zosma05g19100.1,1.986717492133301,3.9418664492534954,5.867281102895713,1
Zosma04g05000.1,1.954697825810924,3.834947978558062,5.646124928752087,1
Zosma04g07080.1,1.9645500107276368,3.8770048819614376,5.773120671979042,1
Zosma03g07330.1,1.9716073792591664,3.900146676650289,5.744688138391264,1
Zosma02g03870.1,1.992559972032352,3.945402829855242,5.825386805292349,1
Zosma01g05660.1,1.9836905784732706,3.9351051107140385,5.867380996797526,1
Zosma03g01130.1,1.9996810556969906,3.9733230176432883,5.91123432749932,1
Zosma06g02010.1,1.9937711633294726,3.949780702572134,5.8607546377677435,1
Zosma07g01590.1,1.9726324783726676,3.90003930384329,5.757444642231185,1
Zosma06g29300.1,1.9990659683648497,3.977707836289401,5.917565610824558,1
Zosma05g20210.1,1.9969087224780169,3.964022761668321,5.833862419325358,1
Zosma01g07320.1,1.9894844928620372,3.9392686383162907,5.863360491189754,1
Zosma06g11210.1,1.9384379552729756,3.828449668952856,5.698857756493095,1
Zosma02g02160.1,1.987334668052076,3.912031039942362,5.765657717847025,1
Zosma06g23860.1,1.9935052293874276,3.9609583906779493,5.751499250675886,1
Zosma01g18370.1,1.9584920523841949,3.8964361969488586,5.807779394446514,1
Zosma04g18400.1,1.9803372547090943,3.909291040856905,5.799294030369448,1
Zosma04g18430.1,1.9301108039722217,3.8294611865195067,5.5001786095835055,1
Zosma03g21040.1,1.9948525750525814,3.95732572651818,5.874810539720077,1
Zosma02g00360.1,1.9518955066996095,3.8617254866915385,5.715098538655255,1
Zosma06g05330.1,1.9718748121378347,3.912346936619955,5.826483858916186,1
Zosma05g23590.1,1.9694939030527214,3.9004007631773194,5.793467919929851,1
Zosma05g08840.1,1.9938175252003367,3.9230215968108015,5.802973702443705,1
Zosma04g15640.1,1.9948179009271565,3.9487072143730533,5.836265047795762,1
Zosma07g00340.1,1.938838800218666,3.8522590296155794,5.716866677642989,1
Zosma03g35940.1,1.9868564613704203,3.9180683804252574,5.7863876151626155,1
Zosma01g38370.1,1.9951513519662087,3.9655465021165694,5.892283051598164,1
Zosma05g33370.1,1.983097088437757,3.9415259378524734,5.872321304563921,1
Zosma01g26470.1,1.9914110245241528,3.933424818876435,5.791809426910333,1
Zosma01g41720.1,1.98942936324715,3.9483102722881114,5.874375623604504,1
Zosma05g19770.1,1.9649608003825514,3.8865894256778413,5.794571535988602,1
Zosma06g12690.1,1.9609511591799584,3.8585257038690197,5.680373971795579,1
Zosma01g33890.1,1.9896684572684362,3.9412455230570687,5.872710924523105,1
Zosma05g24630.1,1.9910128238517393,3.9378000946639222,5.7943438104534675,1
Zosma02g19530.1,1.981585607444265,3.952530078354854,5.897415266135991,1
Zosma06g21970.1,1.982060249610534,3.915814035507613,5.7989832477166,1
Zosma01g06260.1,1.9920654500131834,3.970096347403957,5.908036778565173,1
Zosma01g09470.1,1.995398036583261,3.9473217163171865,5.849818880493722,1
Zosma05g27800.1,1.9965636819756818,3.952752339461239,5.799056240020655,1
Zosma01g14640.1,1.9663016424733581,3.9185880054207227,5.8334194806012025,1
Zosma01g11010.1,1.9608261811271812,3.873703750655252,5.75680029256069,1
Zosma199g00020.1,1.9483548068129481,3.823672834535884,5.568466285898202,1
Zosma1383g00020.1,1.9829603965416611,3.9368048579531125,5.857493529739533,1
Zosma03g14350.1,1.968396777475862,3.902713649219929,5.802115919632385,1
Zosma06g10380.1,1.9786574220694135,3.9325598617226474,5.843710253480032,1
Zosma02g07610.1,1.9197023154676809,3.7917889516339374,5.58427080756195,1
Zosma06g22360.1,1.9644970882793282,3.898174275793569,5.814244541729406,1
Zosma01g40210.1,1.9774204978157366,3.9083245984975745,5.798767798123158,1
Zosma03g28190.1,1.8636880148272224,3.6737991338182856,5.378070521664382,1
Zosma01g00950.1,1.9781826483600233,3.9309683965059774,5.857163490059205,1
Zosma03g20310.1,1.994812020572167,3.956351918481101,5.8905091189761745,1
Zosma07g00490.1,1.963529271534457,3.9044220682966126,5.818872859598633,1
Zosma02g12680.1,1.9274400471716318,3.8178391298417287,5.624702049068575,1
Zosma02g07480.1,1.9639216725815447,3.8927931260301776,5.796248838854974,1
Zosma04g17980.1,1.955565379838729,3.8768875313619295,5.783831859571557,1
Zosma04g02080.1,1.9834050741634552,3.922583306979674,5.840274582110169,1
Zosma06g25810.1,1.9825721721630678,3.9288374804430615,5.782703006273681,1
Zosma06g26550.1,1.9559848997829121,3.886353448381392,5.805359008822566,1
Zosma11g00340.1,1.9541887410216203,3.836238564450131,5.395256904928843,1
Zosma06g16030.1,1.9539923496784732,3.8527862484074875,5.6798176327921865,1
Zosma04g13020.1,1.9893659269380197,3.872495317790484,5.593385081011839,1
Zosma02g07270.1,1.9759201248085567,3.922271836081189,5.797751403698643,1
